Country,Forestation,Agriculture
IDA only,24.7332059,38.74649815
Isle of Man,6.070175439,70.70175439
India,24.27022827,60.43138851
Ireland,11.35172013,
Iran,6.601261082,65.55378139
Iraq,1.900361184,28.21410153
Iceland,0.509273034,21.30707994
Israel,6.469500924,18.56590301
Italy,32.13021865,28.80314233
Jamaica,55.11449677,41.66526719
Jordan,1.09822032,40.99722992
Japan,68.40877915,11.50934895
Kazakhstan,1.279653295,12.12620027
Kenya,6.344818498,80.0224099
Kyrgyz Republic,6.858081335,48.54693046
Cambodia,45.7079651,54.95985401
Kiribati,1.456790123,31.53183775
St. Kitts and Nevis,42.30769231,41.97530864
"Korea, Rep.",64.46882691,23.07692308
Kuwait,0.350729517,16.94011485
Latin America & Caribbean (excluding high income),47.4581064,8.417508418
Lao PDR,71.9042461,36.29712193
Lebanon,14.01075269,10.37261698
Liberia,79.08471761,64.32062561
Libya,0.123327688,20.28696013
St. Lucia,34.04918033,8.723871012
Latin America & Caribbean,46.51101251,17.37704918
Least developed countries: UN classification,26.29191224,35.55606879
Low income,20.42156452,38.32081144
Liechtenstein,41.875,38.97247648
Sri Lanka,34.15589034,32.25
Lower middle income,26.25633732,45.44807966
Low & middle income,31.68543168,41.66830017
Lesotho,1.137022398,37.82268904
Late-demographic dividend,39.50049662,80.14822134
Lithuania,35.14290276,34.82980006
Luxembourg,36.50205761,47.05412741
Latvia,54.93300048,54.13950617
"Macao SAR, China",,31.21275568
St. Martin (French part),24.8,
Morocco,12.86688326,
Monaco,,67.3739637
Moldova,11.75297169,
Madagascar,21.36440358,68.63553016
Maldives,2.733333333,70.29047783
Middle East & North Africa,2.049756272,26.33333333
Mexico,33.79309139,33.21470163
Marshall Islands,52.22222222,54.98649657
Middle income,33.81301471,47.77777778
North Macedonia,39.71015067,37.60549416
Mali,10.89666363,50.11895321
Malta,1.4375,33.76605283
Myanmar,43.72599151,32.4375
Middle East & North Africa (excluding high income),2.495162357,19.74448138
Montenegro,61.48698885,22.7272435
Mongolia,9.101129873,19.0929368
Northern Mariana Islands,52.95652174,72.8416348
Mozambique,46.72519647,6.52173913
Mauritania,0.30348307,52.66389277
Mauritius,19.09852217,38.47967401
Malawi,23.77704709,42.36453202
Malaysia,58.17695937,59.92787442
North America,36.25693036,26.08735352
Namibia,8.06386571,25.61740265
New Caledonia,45.84354486,47.14013288
Niger,0.852372306,10.06728665
Nigeria,23.74578653,36.78850557
Nicaragua,28.31585508,75.8956158
Netherlands,10.97416097,42.08908094
Norway,33.36000582,54.11345411
Nepal,41.59072201,2.701385358
Nauru,,28.74782002
New Zealand,37.57012647,20
OECD members,32.75721044,39.75162356
Oman,0.008077544,34.27381216
Other small states,28.71385896,4.713699515
Pakistan,4.833307389,38.65337864
Panama,56.80790542,47.0890411
Peru,56.50810156,30.45418391
Philippines,24.10903176,18.44429688
Palau,90.02173913,41.72116578
Papua New Guinea,79.17625756,9.347826087
Poland,30.97298886,2.627743674
Pre-demographic dividend,25.86028161,47.3985041
Puerto Rico,55.95603157,40.67133262
"Korea, Dem. People's Rep.",50.07964455,19.04171364
Portugal,36.15499489,21.8420397
Paraguay,40.52922225,39.01497288
West Bank and Gaza,1.684385382,54.91819784
Pacific island small states,68.45310065,
Post-demographic dividend,32.10750079,14.18691589
French Polynesia,42.46022727,33.30156742
Qatar,0,12.92613636
Romania,30.11582928,5.831157528
Russian Federation,49.78433608,58.30146036
Rwanda,11.18767734,13.15843626
South Asia,18.81855363,73.43737333
Saudi Arabia,0.454484135,56.7098618
Sudan,9.928193419,80.76932023
Senegal,41.90598868,36.87265674
Singapore,21.96050776,46.11229419
Solomon Islands,90.13826367,0.930888575
Sierra Leone,35.11886949,4.180064309
El Salvador,28.17953668,54.71044611
San Marino,16.66666667,71.38610039
Somalia,9.532311028,38.33333333
Serbia,31.13023096,70.33665955
Sub-Saharan Africa (excluding high income),26.29357368,39.60667734
South Sudan,11.32565515,42.53944367
Sub-Saharan Africa,26.29447944,45.15260353
Small states,39.62396919,42.53868828
Sao Tome and Principe,54.0625,32.60671099
Suriname,97.41211538,45.83333333
Slovak Republic,40.05615641,0.538461538
Slovenia,61.47225919,39.28868552
Sweden,68.69460607,30.39272164
Eswatini,28.92790698,7.387493555
Sint Maarten (Dutch part),10.88235294,71.04651163
Seychelles,73.26086957,
Syrian Arab Republic,2.843108425,3.369565217
Turks and Caicos Islands,11.07368421,75.81005282
Chad,3.425190597,1.052631579
East Asia & Pacific (IDA & IBRD countries),30.28338027,39.89675985
Europe & Central Asia (IDA & IBRD countries),39.29836694,49.24030471
Togo,22.23331495,28.17376881
Thailand,38.89878447,70.2334988
Tajikistan,3.053534116,43.27741784
Turkmenistan,8.782159045,34.06369335
Latin America & the Caribbean (IDA & IBRD countries),46.58805304,72.00646905
Timor-Leste,61.94351042,35.45232983
Middle East & North Africa (IDA & IBRD countries),2.495727596,25.55480834
Tonga,12.43055556,22.7272435
South Asia (IDA & IBRD),18.81855363,48.61111111
Sub-Saharan Africa (IDA & IBRD countries),26.29447944,56.7098618
Trinidad and Tobago,44.48148148,42.53868828
Tunisia,4.523236354,10.52631579
Turkey,28.8714837,62.71240989
Tuvalu,33.33333333,49.11710822
Tanzania,51.64258298,60
Uganda,11.65918612,44.76179725
Ukraine,16.72419745,71.88809096
Upper middle income,37.4243226,71.33068692
Uruguay,11.60438807,35.66435094
United States of America,33.86692641,80.08170495
Uzbekistan,8.375026955,44.36336735
St. Vincent and the Grenadines,73.17948718,58.05790423
"Venezuela, RB",52.41301514,17.94871795
British Virgin Islands,24.13333333,24.37503543
Virgin Islands (U.S.),56.88571429,46.66666667
Vietnam,47.22511046,11.42857143
Vanuatu,36.28383921,39.2453317
World,,15.34044299
Samoa,57.12720848,36.90352074
Kosovo,,26.74911661
Yemen,1.039831809,44.29740326
South Africa,14.05509072,79.41785028
Zambia,60.28333714,32.06392338
Zimbabwe,45.09391237,41.87669639
